城市,GRP（单位：亿元）,AI百度指数,政策数量,科学技术支出（单位：万元）,教育支出（单位：万元）,年份,全部企业,注销,注销率
中卫市,402.9947,15635,1,17388,220198,2018,36,0.0,0.0
中卫市,438.0,16851,2,22955,243069,2019,41,0.0,0.0
中卫市,440.0,21830,2,18141,289361,2020,74,0.0,0.0
中卫市,505.0,13708,3,20876,286099,2021,128,4.0,0.03125
中卫市,564.0,17276,2,18950,285219,2022,162,19.0,0.11728395061728394
中卫市,591.0,30959,4,18963,287584,2023,198,22.0,0.1111111111111111
中山市,3010.0326,88616,0,165573,644391,2015,329,0.0,0.0
中山市,3202.778,92695,0,278829,654918,2016,426,0.0,0.0
中山市,3430.31295984115,115081,0,440982,665350,2017,575,1.0,0.0017391304347826088
中山市,3632.7013,118123,2,410488,703493,2018,769,3.0,0.0039011703511053317
中山市,3101.0,113597,5,333279,739036,2019,1013,12.0,0.011846001974333662
中山市,3152.0,105276,14,239308,831736,2020,1546,22.0,0.014230271668822769
中山市,3566.0,102258,19,255318,1070536,2021,2657,87.0,0.032743695897628905
中山市,3631.0,100169,21,287915,1021737,2022,3753,192.0,0.051159072741806554
中山市,3851.0,127046,15,295076,962096,2023,4894,291.0,0.059460563955864326
临汾市,1161.109,55450,0,9008,515273,2015,68,0.0,0.0
临汾市,1205.1761,63068,0,9366,513263,2016,93,0.0,0.0
临汾市,1320.33,74402,0,17935,516267,2017,115,0.0,0.0
临汾市,1440.043,81036,0,11190,549494,2018,153,1.0,0.006535947712418301
临汾市,1453.0,84786,0,8229,584573,2019,201,0.0,0.0
临汾市,1505.0,82803,3,8638,591770,2020,279,2.0,0.007168458781362007
临汾市,1909.0,66285,5,7651,593964,2021,537,9.0,0.01675977653631285
临汾市,2228.0,66888,5,4910,676928,2022,810,34.0,0.04197530864197531
临汾市,2312.0,78334,3,6295,751146,2023,1074,104.0,0.09683426443202979
临沂市,3763.17,86055,0,48327,1282424,2015,399,0.0,0.0
临沂市,4026.75,97497,0,72525,1340715,2016,550,0.0,0.0
临沂市,4330.11,111107,1,45710,1415646,2017,753,1.0,0.0013280212483399733
临沂市,4717.8,132525,4,43679,1547356,2018,1053,2.0,0.001899335232668566
临沂市,4600.0,128636,15,58571,1703364,2019,1497,10.0,0.006680026720106881
临沂市,4805.0,120322,18,85455,1910645,2020,2565,21.0,0.008187134502923977
临沂市,5466.0,104440,18,92706,1988972,2021,4731,132.0,0.027901077996195307
临沂市,5779.0,106402,14,90445,2173854,2022,6572,429.0,0.06527693244065734
临沂市,6105.0,123025,14,99935,2299936,2023,8144,767.0,0.09417976424361493
临沧市,502.1223,7988,0,6560,356175,2015,27,0.0,0.0
临沧市,550.8172,12135,0,5438,378279,2016,35,0.0,0.0
临沧市,604.06,20221,0,6170,432609,2017,45,0.0,0.0
临沧市,630.0199,25734,1,6836,499120,2018,56,0.0,0.0
临沧市,759.0,24735,3,9290,538640,2019,68,0.0,0.0
临沧市,821.0,29429,3,15646,516790,2020,79,1.0,0.012658227848101266
临沧市,908.0,20337,2,7391,428333,2021,111,11.0,0.0990990990990991
临沧市,1000.0,23357,1,12821,486662,2022,168,12.0,0.07142857142857142
临沧市,1050.0,45791,4,8393,487541,2023,239,16.0,0.06694560669456066
丹东市,984.9006,35821,0,14620,281582,2015,69,0.0,0.0
丹东市,751.2352,39124,0,11081,302438,2016,75,0.0,0.0
丹东市,787.0,61620,1,9276,290763,2017,92,0.0,0.0
丹东市,816.7389,70627,1,9632,281796,2018,115,0.0,0.0
丹东市,768.0,58450,1,3874,294579,2019,139,0.0,0.0
丹东市,779.0,61806,1,3478,355490,2020,216,2.0,0.009259259259259259
丹东市,854.0,46011,1,2404,286400,2021,326,13.0,0.03987730061349693
丹东市,891.0,43774,2,4924,328939,2022,381,21.0,0.05511811023622047
丹东市,945.0,61251,1,4855,325907,2023,470,24.0,0.05106382978723404
丽水市,1103.2922,48059,0,54488,522659,2015,99,0.0,0.0
丽水市,1210.2414,61273,0,63560,589829,2016,126,0.0,0.0
丽水市,1250.92,75095,3,72667,670110,2017,176,0.0,0.0
丽水市,1394.665,82360,5,93193,689280,2018,235,0.0,0.0
丽水市,1477.0,74255,9,114303,766949,2019,311,0.0,0.0
丽水市,1540.0,77451,9,114952,839689,2020,597,20.0,0.03350083752093802
丽水市,1710.0,66339,11,134809,870065,2021,907,69.0,0.07607497243660419
丽水市,1831.0,68977,10,160453,923197,2022,1195,72.0,0.0602510460251046
丽水市,1964.0,86203,12,194878,973785,2023,1484,106.0,0.07142857142857142
丽江市,289.6117,10997,0,9035,209663,2015,21,0.0,0.0
丽江市,309.2899,13026,0,10529,233258,2016,29,0.0,0.0
丽江市,339.48,31066,0,10116,270472,2017,40,0.0,0.0
丽江市,350.7628,35993,1,10720,278921,2018,55,0.0,0.0
丽江市,473.0,30409,3,10066,268852,2019,63,3.0,0.047619047619047616
丽江市,513.0,27345,3,6746,293552,2020,85,0.0,0.0
丽江市,570.0,22161,2,6234,291006,2021,134,10.0,0.07462686567164178
丽江市,620.0,20868,1,5867,305057,2022,198,23.0,0.11616161616161616
丽江市,672.0,42797,4,5936,267729,2023,284,21.0,0.07394366197183098
乌兰察布市,913.7748,12551,0,8072,363314,2015,17,0.0,0.0
乌兰察布市,938.87,21150,0,6565,383503,2016,29,0.0,0.0
乌兰察布市,721.0,32759,0,7579,387189,2017,48,0.0,0.0
乌兰察布市,764.52,41706,2,7360,387767,2018,75,2.0,0.02666666666666667
乌兰察布市,808.0,46064,2,5927,368331,2019,104,3.0,0.028846153846153848
乌兰察布市,827.0,51718,3,6434,410633,2020,125,5.0,0.04
乌兰察布市,904.0,33436,3,12190,406296,2021,190,8.0,0.042105263157894736
乌兰察布市,1018.0,33437,5,19442,416816,2022,261,11.0,0.0421455938697318
乌兰察布市,1085.0,45184,4,29394,425876,2023,376,26.0,0.06914893617021277
乌海市,559.8322,9379,0,19522,121031,2015,21,0.0,0.0
乌海市,572.2261,13294,0,17931,142619,2016,26,0.0,0.0
乌海市,410.0,18938,0,7506,106873,2017,31,0.0,0.0
乌海市,495.936,25816,2,10096,112997,2018,43,1.0,0.023255813953488372
乌海市,551.0,25831,2,8888,123395,2019,52,3.0,0.057692307692307696
乌海市,563.0,27769,3,12739,121360,2020,62,1.0,0.016129032258064516
乌海市,718.0,14854,3,17129,132599,2021,104,3.0,0.028846153846153848
乌海市,803.0,16577,5,17426,148415,2022,143,12.0,0.08391608391608392
乌海市,713.0,31143,4,17673,189689,2023,208,8.0,0.038461538461538464
乌鲁木齐市,2631.6398,90398,0,88119,704187,2015,700,0.0,0.0
乌鲁木齐市,2458.9766,97760,0,94672,717515,2016,880,0.0,0.0
乌鲁木齐市,2731.0,110909,1,100024,721454,2017,1063,0.0,0.0
乌鲁木齐市,3099.7659,108402,2,102288,830981,2018,1280,0.0,0.0
乌鲁木齐市,3413.0,107524,2,100828,900900,2019,1591,0.0,0.0
乌鲁木齐市,3337.0,100870,1,97349,849548,2020,2541,6.0,0.0023612750885478157
乌鲁木齐市,3692.0,96855,0,94603,766533,2021,3878,100.0,0.025786487880350695
乌鲁木齐市,3893.0,99653,0,33008,707180,2022,4976,125.0,0.025120578778135047
乌鲁木齐市,4168.0,125253,0,31067,744070,2023,6656,322.0,0.04837740384615385
乐山市,1301.2326,47579,0,18482,384160,2015,37,0.0,0.0
乐山市,1406.5848,65081,0,12510,384773,2016,42,0.0,0.0
乐山市,1508.0,74084,0,19528,421791,2017,58,0.0,0.0
乐山市,1615.0949,66154,5,10085,434526,2018,79,1.0,0.012658227848101266
乐山市,1863.0,66120,8,10056,440407,2019,107,7.0,0.06542056074766354
乐山市,2003.0,72701,11,6998,455051,2020,142,9.0,0.06338028169014084
乐山市,2205.0,52980,8,5846,472450,2021,230,34.0,0.14782608695652175
乐山市,2309.0,54460,9,12213,485175,2022,326,38.0,0.1165644171779141
乐山市,2448.0,75773,7,19705,492944,2023,465,32.0,0.06881720430107527
九江市,1902.6783,54777,0,51819,823120,2015,121,0.0,0.0
九江市,2096.1347,63692,0,58853,829246,2016,168,0.0,0.0
九江市,2545.34,83682,1,75892,908971,2017,221,0.0,0.0
九江市,2700.1852,91850,2,116150,998466,2018,279,1.0,0.0035842293906810036
九江市,3121.0,91144,2,175898,1154744,2019,381,1.0,0.0026246719160104987
九江市,3241.0,88469,1,154175,1180943,2020,803,21.0,0.026151930261519303
九江市,3736.0,76652,2,155458,1170435,2021,1651,88.0,0.05330102967898243
九江市,4027.0,72626,3,147011,1202003,2022,3077,175.0,0.05687357816054599
九江市,3845.0,95621,5,153131,1267076,2023,4027,260.0,0.0645641917059846
云浮市,713.1416,28274,0,36396,325226,2015,15,0.0,0.0
云浮市,778.3051,37085,0,28829,348616,2016,19,0.0,0.0
云浮市,803.564351185374,50570,0,35911,373644,2017,29,0.0,0.0
云浮市,849.1284,54409,2,31104,408868,2018,41,0.0,0.0
云浮市,922.0,58640,4,42823,481004,2019,55,0.0,0.0
云浮市,1002.0,60988,10,34976,546633,2020,84,0.0,0.0
云浮市,1139.0,40652,12,22308,538045,2021,166,13.0,0.0783132530120482
云浮市,1162.0,40413,14,6354,569281,2022,214,21.0,0.09813084112149532
云浮市,1207.0,60097,11,23845,548162,2023,286,21.0,0.07342657342657342
亳州市,942.609,34328,0,28524,448896,2015,28,0.0,0.0
亳州市,1046.1044,33910,0,26729,511230,2016,47,0.0,0.0
亳州市,1149.79,50214,1,53655,585197,2017,66,0.0,0.0
亳州市,1277.1945,60667,5,52169,641005,2018,97,0.0,0.0
亳州市,1749.0,66216,6,57857,765756,2019,129,0.0,0.0
亳州市,1806.0,66659,8,55157,802909,2020,170,1.0,0.0058823529411764705
亳州市,1973.0,53323,5,51730,772043,2021,422,10.0,0.023696682464454975
亳州市,2102.0,65805,9,68306,815153,2022,854,420.0,0.4918032786885246
亳州市,2216.0,76853,11,69772,881656,2023,1089,95.0,0.08723599632690542
伊春市,251.2167,23404,0,2629,73493,2016,3,0.0,0.0
伊春市,274.1523,24718,1,1856,72629,2018,5,0.0,0.0
伊春市,299.0,23053,1,2140,130125,2019,14,0.0,0.0
伊春市,294.0,33227,1,2258,163483,2020,19,0.0,0.0
伊春市,319.0,14718,1,2765,181258,2021,30,0.0,0.0
伊春市,343.0,17152,1,3762,175396,2022,59,4.0,0.06779661016949153
伊春市,358.0,30265,1,8942,167710,2023,86,12.0,0.13953488372093023
佛山市,8003.9186,121569,0,302739,1280022,2015,850,0.0,0.0
佛山市,8630.0002,134897,0,349559,1244663,2016,1086,0.0,0.0
佛山市,9398.5162,177245,0,462621,1402545,2017,1401,0.0,0.0
佛山市,9935.8845,202204,2,546769,1482310,2018,1894,1.0,0.0005279831045406547
佛山市,10751.0,181015,0,981555,1597130,2019,2528,15.0,0.005933544303797469
佛山市,10816.0,170790,0,1015580,1725234,2020,3796,22.0,0.005795574288724974
佛山市,12157.0,139033,12,1016580,1943805,2021,6666,163.0,0.024452445244524453
佛山市,12698.0,140748,14,835955,2059881,2022,8764,388.0,0.04427202190780465
佛山市,13276.0,200056,12,573562,2124155,2023,11657,769.0,0.06596894569786395
佳木斯市,810.1676,36973,0,9615,246833,2015,17,0.0,0.0
佳木斯市,845.0332,47122,0,4281,243810,2016,26,0.0,0.0
佳木斯市,992.0498,56959,0,2339,270632,2017,35,0.0,0.0
佳木斯市,1012.0491,61524,1,2682,262742,2018,42,0.0,0.0
佳木斯市,763.0,56533,1,4740,278840,2019,49,0.0,0.0
佳木斯市,812.0,60238,1,12190,278928,2020,71,0.0,0.0
佳木斯市,816.0,48160,1,19123,286833,2021,126,1.0,0.007936507936507936
佳木斯市,869.0,47106,1,24110,296391,2022,216,7.0,0.032407407407407406
佳木斯市,909.0,62989,1,16853,310503,2023,349,26.0,0.07449856733524356
保定市,3000.34,96600,0,22274,1221166,2015,156,0.0,0.0
保定市,3477.1269,112917,1,37453,1307572,2016,220,0.0,0.0
保定市,1357.0,118548,2,44738,1445318,2017,300,0.0,0.0
保定市,3589.7885,127537,4,43063,1654492,2018,507,8.0,0.015779092702169626
保定市,3772.0,127750,5,56776,1860080,2019,742,41.0,0.05525606469002695
保定市,3954.0,133917,4,50426,1915839,2020,948,40.0,0.04219409282700422
保定市,4402.0,106373,4,122425,1931191,2021,1202,65.0,0.054076539101497505
保定市,4608.0,109076,3,140928,1842778,2022,1840,217.0,0.11793478260869565
保定市,4825.0,130557,3,206846,2180908,2023,3459,376.0,0.10870193697600462
保山市,551.9581,9275,0,9515,328693,2015,16,0.0,0.0
保山市,613.3904,15455,0,9516,396133,2016,21,0.0,0.0
保山市,678.95,26037,0,8396,441137,2017,31,0.0,0.0
保山市,738.1448,36248,1,8522,491612,2018,43,0.0,0.0
保山市,961.0,36131,3,7069,455998,2019,56,2.0,0.03571428571428571
保山市,1053.0,36167,3,7024,464999,2020,75,0.0,0.0
保山市,1166.0,21990,2,6058,471024,2021,105,9.0,0.08571428571428572
保山市,1262.0,22535,1,3697,485033,2022,176,35.0,0.19886363636363635
保山市,1254.0,43557,4,3947,495342,2023,284,46.0,0.1619718309859155
信阳市,1877.744,55417,0,19989,817863,2015,66,0.0,0.0
信阳市,2037.801,81586,0,21613,925329,2016,93,0.0,0.0
信阳市,2194.51,85250,1,22204,1009016,2017,129,0.0,0.0
信阳市,2387.7965,85394,2,22911,1173793,2018,184,0.0,0.0
信阳市,2758.0,82678,5,24110,1185690,2019,277,1.0,0.0036101083032490976
信阳市,2805.0,87161,7,92007,1288296,2020,408,2.0,0.004901960784313725
信阳市,3065.0,76565,9,148349,1159639,2021,707,15.0,0.021216407355021217
信阳市,3196.0,77627,8,193868,1194388,2022,978,48.0,0.049079754601226995
信阳市,2959.0,95630,8,252353,1198287,2023,1303,97.0,0.07444359171143515
儋州市,231.7313,3494,0,519,148042,2015,19,0.0,0.0
儋州市,257.7835,4712,0,3499,149236,2016,31,0.0,0.0
儋州市,287.6269,20647,1,1325,138928,2017,47,1.0,0.02127659574468085
儋州市,322.9693,40514,4,918,195274,2018,81,0.0,0.0
儋州市,358.0,45528,4,973,183145,2019,121,5.0,0.04132231404958678
儋州市,359.0,37713,3,782,162436,2020,393,20.0,0.05089058524173028
儋州市,832.0,28394,2,3990,226739,2021,1084,76.0,0.07011070110701106
儋州市,879.0,27619,7,21068,267376,2022,2489,117.0,0.04700683005222981
儋州市,1003.0,44172,10,22845,282617,2023,2668,128.0,0.047976011994003
克拉玛依市,629.4299,16591,0,15056,219305,2015,45,0.0,0.0
克拉玛依市,620.9989,20290,0,14040,212515,2016,51,0.0,0.0
克拉玛依市,745.0,32282,1,16696,236065,2017,58,0.0,0.0
克拉玛依市,898.142,33534,2,16272,237292,2018,69,0.0,0.0
克拉玛依市,973.0,34562,2,13458,251793,2019,79,0.0,0.0
克拉玛依市,887.0,31961,1,13668,242324,2020,115,0.0,0.0
克拉玛依市,1072.0,21176,0,14477,246754,2021,179,7.0,0.03910614525139665
克拉玛依市,1188.0,22033,0,18672,256547,2022,227,8.0,0.03524229074889868
克拉玛依市,1261.0,44227,0,25237,268915,2023,283,15.0,0.053003533568904596
六安市,1016.4885,45714,0,32549,696511,2015,63,0.0,0.0
六安市,1108.1469,48454,0,45563,651272,2016,86,0.0,0.0
六安市,1168.05,60401,1,93232,675479,2017,125,0.0,0.0
六安市,1288.0538,67313,5,107316,773186,2018,171,0.0,0.0
六安市,1620.0,83480,6,115201,825818,2019,237,3.0,0.012658227848101266
六安市,1670.0,89287,8,82972,912215,2020,336,6.0,0.017857142857142856
六安市,1923.0,66134,5,49195,913543,2021,675,17.0,0.025185185185185185
六安市,2005.0,69407,9,61308,973745,2022,1326,73.0,0.05505279034690799
六安市,2113.0,79479,11,99220,1051079,2023,1846,171.0,0.09263271939328277
六盘水市,1201.08,24142,0,33087,501062,2015,19,0.0,0.0
六盘水市,1313.7,33507,0,49294,560499,2016,27,0.0,0.0
六盘水市,1462.0,41895,0,61466,668900,2017,45,0.0,0.0
六盘水市,1525.69,43146,2,61413,729453,2018,72,0.0,0.0
六盘水市,1266.0,42478,2,55103,787139,2019,101,0.0,0.0
六盘水市,1340.0,48054,2,62896,759995,2020,152,2.0,0.013157894736842105
六盘水市,1474.0,31430,1,62432,774637,2021,251,3.0,0.01195219123505976
六盘水市,1504.0,41622,3,53109,800007,2022,450,18.0,0.04
六盘水市,1558.0,62008,3,55171,915051,2023,697,29.0,0.04160688665710186
兰州市,2095.992,88981,0,41362,671067,2015,847,0.0,0.0
兰州市,2264.2318,96670,0,45156,740910,2016,1051,0.0,0.0
兰州市,2500.80192202705,115501,0,67851,803250,2017,1276,1.0,0.0007836990595611285
兰州市,2732.9373,123889,1,60572,799798,2018,1577,1.0,0.0006341154090044388
兰州市,2837.0,124661,1,78947,882874,2019,1925,11.0,0.005714285714285714
兰州市,2887.0,114572,2,76095,824400,2020,2267,12.0,0.00529333921482135
兰州市,3231.0,105012,1,64665,812928,2021,3292,21.0,0.00637910085054678
兰州市,3344.0,105084,2,72630,802339,2022,4327,82.0,0.018950774208458518
兰州市,3487.0,132616,1,77481,787472,2023,5959,182.0,0.030542037254572916
内江市,1198.5784,30743,0,16721,395454,2015,38,0.0,0.0
内江市,1297.6712,36058,0,11328,378257,2016,46,0.0,0.0
内江市,1332.0,57045,0,16910,395664,2017,68,0.0,0.0
内江市,1411.7521,62678,5,16793,421747,2018,91,3.0,0.03296703296703297
内江市,1433.0,57326,8,16049,474825,2019,122,10.0,0.08196721311475409
内江市,1466.0,67023,11,11166,498847,2020,161,16.0,0.09937888198757763
内江市,1606.0,43258,8,7824,454198,2021,236,42.0,0.17796610169491525
内江市,1657.0,46860,9,8000,463168,2022,344,45.0,0.1308139534883721
内江市,1807.0,74696,7,9912,474399,2023,455,35.0,0.07692307692307693
包头市,3721.93,45213,0,53969,500593,2015,171,0.0,0.0
包头市,3867.63,55740,0,58364,534160,2016,217,0.0,0.0
包头市,2753.0,75796,0,39163,505189,2017,267,0.0,0.0
包头市,2951.79,79999,2,48268,545061,2018,341,2.0,0.005865102639296188
包头市,2714.0,76283,2,42806,531860,2019,421,3.0,0.007125890736342043
包头市,2787.0,79746,3,41581,535498,2020,527,6.0,0.011385199240986717
包头市,3293.0,67012,4,54362,549053,2021,767,19.0,0.024771838331160364
包头市,3750.0,65163,7,39154,609989,2022,1080,35.0,0.032407407407407406
包头市,4264.0,84025,6,61010,652580,2023,1425,82.0,0.05754385964912281
北京市,23014.59,412989,0,2877956,8556654,2015,12100,0.0,0.0
北京市,25669.13,586974,0,2857785,8873761,2016,15054,0.0,0.0
北京市,28014.94,952843,2,3617191,9645817,2017,18313,3.0,0.00016381805274941297
北京市,30319.9787,934080,3,4258712,10255068,2018,21833,4.0,0.0001832089039527321
北京市,35371.0,766775,7,4334165,11360185,2019,26634,14.0,0.0005256439137943981
北京市,36103.0,571085,7,4109628,11382891,2020,32541,21.0,0.0006453397252696598
北京市,40270.0,430571,12,4494463,11478293,2021,42123,44.0,0.0010445599791088004
北京市,41611.0,408922,14,4887041,11711223,2022,69851,659.0,0.009434367439263576
北京市,43761.0,732484,24,5219079,12279032,2023,103656,2289.0,0.022082658022690438
北海市,892.0837,30628,0,4341,247285,2015,62,0.0,0.0
北海市,1006.65,45218,0,23933,280438,2016,81,0.0,0.0
北海市,1229.842036,58382,0,34004,287354,2017,104,0.0,0.0
北海市,1213.301,61132,3,45606,309437,2018,144,0.0,0.0
北海市,1301.0,66783,3,23220,370234,2019,202,3.0,0.01485148514851485
北海市,1277.0,59677,6,4957,371610,2020,352,3.0,0.008522727272727272
北海市,1504.0,49248,16,5844,371050,2021,608,27.0,0.044407894736842105
北海市,1674.0,45436,23,29732,378556,2022,796,50.0,0.06281407035175879
北海市,1751.0,69614,22,32239,382551,2023,947,65.0,0.06863780359028511
十堰市,1300.12,43055,0,35058,411622,2015,140,0.0,0.0
十堰市,1429.15,53658,0,33972,498172,2016,188,0.0,0.0
十堰市,1632.32,76125,3,42705,548306,2017,230,0.0,0.0
十堰市,1747.82,76744,4,46469,536673,2018,291,3.0,0.010309278350515464
十堰市,2013.0,65739,5,60996,561004,2019,373,1.0,0.002680965147453083
十堰市,1915.0,69978,10,66347,590508,2020,467,4.0,0.008565310492505354
十堰市,2164.0,63163,20,75623,571725,2021,827,27.0,0.032648125755743655
十堰市,2305.0,55909,23,123423,628038,2022,1164,46.0,0.03951890034364261
十堰市,2359.0,74351,16,130267,651749,2023,1593,87.0,0.054613935969868174
南京市,9720.77,149787,0,520300,1781700,2015,2538,0.0,0.0
南京市,10503.02,187047,0,531300,2028600,2016,3223,0.0,0.0
南京市,11715.1,285744,1,672942,2178419,2017,4161,1.0,0.0002403268445085316
南京市,12820.4,310071,3,805440,2530631,2018,5412,0.0,0.0
南京市,14031.0,277013,6,976200,2890500,2019,7181,17.0,0.002367358306642529
南京市,14818.0,226360,8,1008615,3062752,2020,13865,97.0,0.006996033177064551
南京市,16356.0,202654,8,1082628,3226752,2021,21164,506.0,0.02390852390852391
南京市,16908.0,198660,11,1120440,3303409,2022,25945,1950.0,0.07515899017151667
南京市,17421.0,285202,15,1126386,3409645,2023,32418,1982.0,0.06113887346535875
南充市,1516.2016,61721,0,17761,718249,2015,96,0.0,0.0
南充市,1651.4004,72729,0,15440,737133,2016,140,0.0,0.0
南充市,1828.0,82414,0,14205,813787,2017,173,0.0,0.0
南充市,2006.0333,84014,5,19568,844105,2018,227,3.0,0.013215859030837005
南充市,2322.0,85213,8,17227,927582,2019,341,35.0,0.10263929618768329
南充市,2401.0,87238,11,12467,967169,2020,495,50.0,0.10101010101010101
南充市,2602.0,72863,8,17932,966992,2021,716,107.0,0.1494413407821229
南充市,2685.0,70001,9,10130,955537,2022,974,123.0,0.12628336755646818
南充市,2735.0,87391,7,13512,1011666,2023,1229,88.0,0.07160292921074043
南宁市,3410.0859,105451,0,58220,923758,2015,1378,0.0,0.0
南宁市,3703.33,117143,0,51647,974586,2016,1800,0.0,0.0
南宁市,4118.829288,139580,0,64433,1173869,2017,2235,0.0,0.0
